"id_invoice","tanggal","id_barang","nama_barang","jumlah_barang","total_harga","mata_uang","kode_brand","brand","id_customer","nama_customer","cabang_sales","id_distributor","group_category","bulan"
IN6226,"31/1/22",BRG0007,ERGOTAMINE COFFEINE,23,105618.3,IDR,BRG0007,ETIKAL,CUST55416,APOTEK SAHABAT,Padang,EPM,Apotek,"2031-01"
IN6063,"1/2/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,12,47902.8,IDR,BRG0008,MARCKS,CUST55417,APOTEK TAPAK,Aceh,TD,Apotek,"0001-02"
IN6131,"27/1/22",BRG0009,AMBROXOL HC,10,57807.0,IDR,BRG0009,VNS,CUST55418,APOTEK MAJA,Kuningan,TD,Apotek,"2027-01"
IN6262,"28/1/22",BRG0010,PARACETAMOL,67,465000.10000000003,IDR,BRG0010,SLCYL,CUST55419,KLINIK GM,Jakarta,TA,Klinik,"2028-01"
IN6028,"23/1/22",BRG0001,ACYCLOVIR DUS,98,114651.18000000001,IDR,BRG0001,OGB & PH,CUST55420,APOTEK MERDEKA,Bandung,EPM,Apotek,"2023-01"
IN6163,"30/1/22",BRG0002,ALERGINE TABLET SALUT,5,11687.5,IDR,BRG0002,ETIKAL,CUST55421,KLINIK SAHABAT,Tangerang,TD,Klinik,"2030-01"
IN6191,"31/1/22",BRG0003,AMPICILLIN,4,42762.4,IDR,BRG0003,MARCKS,CUST55422,APOTEK SINAR JAYA,Bekasi,TA,Apotek,"2031-01"
IN6274,"1/2/22",BRG0004,TRAMADOL KAPSUL 50 MG,8,69605.6,IDR,BRG0004,VNS,CUST55423,APOTEK SAHABAT,Padang,EPM,Apotek,"0001-02"
IN6003,"27/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,9,50834.700000000004,IDR,BRG0005,SLCYL,CUST55424,KLINIK DR. ANDRI,Lampung,TD,Klinik,"2027-01"
IN6247,"28/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,10,28192.0,IDR,BRG0006,OGB & PH,CUST55425,APOTEK TAPAK,Aceh,TA,Apotek,"2028-01"
IN6311,"23/1/22",BRG0007,ERGOTAMINE COFFEINE,7,32144.700000000004,IDR,BRG0007,ETIKAL,CUST55426,APOTEK MAJA,Kuningan,EPM,Apotek,"2023-01"
IN6248,"30/1/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,100,399190.0,IDR,BRG0008,MARCKS,CUST55427,KLINIK GM,Jakarta,TD,Klinik,"2030-01"
IN6042,"31/1/22",BRG0009,AMBROXOL HC,67,387306.89999999997,IDR,BRG0009,VNS,CUST55428,APOTEK MERDEKA,Bandung,TD,Apotek,"2031-01"
IN6133,"1/2/22",BRG0010,PARACETAMOL,78,541343.4,IDR,BRG0010,SLCYL,CUST55429,KLINIK SAHABAT,Tangerang,TA,Klinik,"0001-02"
IN6306,"27/1/22",BRG0001,ACYCLOVIR DUS,45,52645.950000000004,IDR,BRG0001,OGB & PH,CUST55430,APOTEK SINAR JAYA,Bekasi,EPM,Apotek,"2027-01"
IN6253,"28/1/22",BRG0002,ALERGINE TABLET SALUT,34,79475.0,IDR,BRG0002,ETIKAL,CUST55431,APOTEK SAHABAT,Padang,TD,Apotek,"2028-01"
IN5980,"23/1/22",BRG0003,AMPICILLIN,20,213812.0,IDR,BRG0003,MARCKS,CUST55432,APOTEK TAPAK,Aceh,TA,Apotek,"2023-01"
IN6104,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,45,391531.50000000006,IDR,BRG0004,VNS,CUST55433,APOTEK MAJA,Kuningan,EPM,Apotek,"2030-01"
IN6050,"31/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,34,192042.2,IDR,BRG0005,SLCYL,CUST55434,KLINIK GM,Jakarta,TD,Klinik,"2031-01"
IN6054,"1/2/22",BRG0006,KETOCONAZOLE TABLET 200 MG,34,95852.79999999999,IDR,BRG0006,OGB & PH,CUST55435,APOTEK MERDEKA,Bandung,TD,Apotek,"0001-02"
IN6219,"27/1/22",BRG0001,ACYCLOVIR DUS,34,156131.40000000002,IDR,BRG0001,OGB & PH,CUST55436,KLINIK SAHABAT,Tangerang,TA,Klinik,"2027-01"
IN6053,"28/1/22",BRG0002,ALERGINE TABLET SALUT,44,175643.6,IDR,BRG0002,ETIKAL,CUST55437,APOTEK SINAR JAYA,Bekasi,EPM,Apotek,"2028-01"
IN6217,"23/1/22",BRG0003,AMPICILLIN,5,28903.5,IDR,BRG0003,MARCKS,CUST55438,APOTEK SAHABAT,Padang,TD,Apotek,"2023-01"
IN6323,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,6,41641.8,IDR,BRG0004,VNS,CUST55439,KLINIK DR. ANDRI,Lampung,TA,Klinik,"2030-01"
IN6241,"31/1/22",BRG0001,ACYCLOVIR DUS,79,92422.89,IDR,BRG0001,OGB & PH,CUST55440,APOTEK TAPAK,Aceh,EPM,Apotek,"2031-01"
IN6134,"1/2/22",BRG0002,ALERGINE TABLET SALUT,12,28050.0,IDR,BRG0002,ETIKAL,CUST55441,APOTEK MAJA,Kuningan,TD,Apotek,"0001-02"
IN6124,"27/1/22",BRG0003,AMPICILLIN,95,1015607.0,IDR,BRG0003,MARCKS,CUST55442,KLINIK GM,Jakarta,TA,Klinik,"2027-01"
IN5981,"28/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,76,661253.2000000001,IDR,BRG0004,VNS,CUST55443,APOTEK MERDEKA,Bandung,EPM,Apotek,"2028-01"
IN6220,"23/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,48,271118.4,IDR,BRG0005,SLCYL,CUST55444,KLINIK SAHABAT,Tangerang,TD,Klinik,"2023-01"
IN6122,"30/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,21,59203.2,IDR,BRG0006,OGB & PH,CUST55445,APOTEK SINAR JAYA,Bekasi,TD,Apotek,"2030-01"
IN6255,"31/1/22",BRG0007,ERGOTAMINE COFFEINE,22,101026.20000000001,IDR,BRG0007,ETIKAL,CUST55446,APOTEK SAHABAT,Padang,TA,Apotek,"2031-01"
IN6005,"1/2/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,12,47902.8,IDR,BRG0008,MARCKS,CUST55447,APOTEK TAPAK,Aceh,EPM,Apotek,"0001-02"
IN6327,"27/1/22",BRG0009,AMBROXOL HC,25,144517.5,IDR,BRG0009,VNS,CUST55448,APOTEK MAJA,Kuningan,TD,Apotek,"2027-01"
IN6119,"28/1/22",BRG0010,PARACETAMOL,14,97164.2,IDR,BRG0010,SLCYL,CUST55449,KLINIK GM,Jakarta,TA,Klinik,"2028-01"
IN6233,"23/1/22",BRG0001,ACYCLOVIR DUS,24,28077.840000000004,IDR,BRG0001,OGB & PH,CUST55450,APOTEK MERDEKA,Bandung,EPM,Apotek,"2023-01"
IN6235,"30/1/22",BRG0002,ALERGINE TABLET SALUT,10,23375.0,IDR,BRG0002,ETIKAL,CUST55451,KLINIK SAHABAT,Tangerang,TD,Klinik,"2030-01"
IN6263,"31/1/22",BRG0003,AMPICILLIN,130,1389778.0,IDR,BRG0003,MARCKS,CUST55452,APOTEK SINAR JAYA,Bekasi,TA,Apotek,"2031-01"
IN6269,"1/2/22",BRG0004,TRAMADOL KAPSUL 50 MG,12,104408.40000000001,IDR,BRG0004,VNS,CUST55453,APOTEK SAHABAT,Padang,EPM,Apotek,"0001-02"
IN6188,"27/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,10,56483.0,IDR,BRG0005,SLCYL,CUST55454,KLINIK DR. ANDRI,Lampung,TD,Klinik,"2027-01"
IN6116,"28/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,67,188886.4,IDR,BRG0006,OGB & PH,CUST55455,APOTEK TAPAK,Aceh,TD,Apotek,"2028-01"
IN6216,"23/1/22",BRG0007,ERGOTAMINE COFFEINE,98,450025.80000000005,IDR,BRG0007,ETIKAL,CUST55456,APOTEK MAJA,Kuningan,TA,Apotek,"2023-01"
IN6099,"30/1/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,5,19959.5,IDR,BRG0008,MARCKS,CUST55457,KLINIK GM,Jakarta,EPM,Klinik,"2030-01"
IN6326,"31/1/22",BRG0009,AMBROXOL HC,4,23122.8,IDR,BRG0009,VNS,CUST55458,APOTEK MERDEKA,Bandung,TD,Apotek,"2031-01"
IN6267,"1/2/22",BRG0010,PARACETAMOL,8,55522.4,IDR,BRG0010,SLCYL,CUST55459,KLINIK SAHABAT,Tangerang,TA,Klinik,"0001-02"
IN6238,"27/1/22",BRG0001,ACYCLOVIR DUS,9,10529.19,IDR,BRG0001,OGB & PH,CUST55460,APOTEK SINAR JAYA,Bekasi,EPM,Apotek,"2027-01"
IN6214,"28/1/22",BRG0002,ALERGINE TABLET SALUT,21,49087.5,IDR,BRG0002,ETIKAL,CUST55461,APOTEK SAHABAT,Padang,TD,Apotek,"2028-01"
IN6318,"23/1/22",BRG0003,AMPICILLIN,22,235193.2,IDR,BRG0003,MARCKS,CUST55462,APOTEK TAPAK,Aceh,TD,Apotek,"2023-01"
IN6256,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,12,104408.40000000001,IDR,BRG0004,VNS,CUST55463,APOTEK MAJA,Kuningan,TA,Apotek,"2030-01"
IN6048,"31/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,25,141207.5,IDR,BRG0005,SLCYL,CUST55464,KLINIK GM,Jakarta,EPM,Klinik,"2031-01"
IN6120,"1/2/22",BRG0006,KETOCONAZOLE TABLET 200 MG,14,39468.799999999996,IDR,BRG0006,OGB & PH,CUST55465,APOTEK MERDEKA,Bandung,TD,Apotek,"0001-02"
IN6161,"27/1/22",BRG0001,ACYCLOVIR DUS,24,110210.40000000001,IDR,BRG0001,OGB & PH,CUST55466,KLINIK SAHABAT,Tangerang,TA,Klinik,"2027-01"
IN6292,"28/1/22",BRG0002,ALERGINE TABLET SALUT,10,39919.0,IDR,BRG0002,ETIKAL,CUST55467,APOTEK SINAR JAYA,Bekasi,EPM,Apotek,"2028-01"
IN6286,"23/1/22",BRG0003,AMPICILLIN,120,693684.0,IDR,BRG0003,MARCKS,CUST55468,APOTEK SAHABAT,Padang,TD,Apotek,"2023-01"
IN6008,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,12,83283.6,IDR,BRG0004,VNS,CUST55469,KLINIK DR. ANDRI,Lampung,TA,Klinik,"2030-01"
IN6040,"31/1/22",BRG0001,ACYCLOVIR DUS,10,11699.1,IDR,BRG0001,OGB & PH,CUST55470,APOTEK TAPAK,Aceh,EPM,Apotek,"2031-01"
IN6084,"1/2/22",BRG0002,ALERGINE TABLET SALUT,67,156612.5,IDR,BRG0002,ETIKAL,CUST55471,APOTEK MAJA,Kuningan,TD,Apotek,"0001-02"
IN6074,"27/1/22",BRG0003,AMPICILLIN,98,1047678.8,IDR,BRG0003,MARCKS,CUST55472,KLINIK GM,Jakarta,TD,Klinik,"2027-01"
IN6200,"28/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,5,43503.5,IDR,BRG0004,VNS,CUST55473,APOTEK MERDEKA,Bandung,TA,Apotek,"2028-01"
IN6065,"23/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,4,22593.2,IDR,BRG0005,SLCYL,CUST55474,KLINIK SAHABAT,Tangerang,EPM,Klinik,"2023-01"
IN6208,"30/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,8,22553.6,IDR,BRG0006,OGB & PH,CUST55475,APOTEK SINAR JAYA,Bekasi,TD,Apotek,"2030-01"
IN6148,"31/1/22",BRG0007,ERGOTAMINE COFFEINE,9,41328.9,IDR,BRG0007,ETIKAL,CUST55476,APOTEK SAHABAT,Padang,TA,Apotek,"2031-01"
IN6072,"1/2/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,1,3991.9,IDR,BRG0008,MARCKS,CUST55477,APOTEK TAPAK,Aceh,EPM,Apotek,"0001-02"
IN6095,"27/1/22",BRG0009,AMBROXOL HC,5,28903.5,IDR,BRG0009,VNS,CUST55478,APOTEK MAJA,Kuningan,TD,Apotek,"2027-01"
IN6049,"28/1/22",BRG0010,PARACETAMOL,9,62462.700000000004,IDR,BRG0010,SLCYL,CUST55479,KLINIK GM,Jakarta,TA,Klinik,"2028-01"
IN6039,"23/1/22",BRG0001,ACYCLOVIR DUS,13,15208.830000000002,IDR,BRG0001,OGB & PH,CUST55480,APOTEK MERDEKA,Bandung,EPM,Apotek,"2023-01"
IN6276,"30/1/22",BRG0002,ALERGINE TABLET SALUT,1,2337.5,IDR,BRG0002,ETIKAL,CUST55481,KLINIK SAHABAT,Tangerang,TD,Klinik,"2030-01"
IN6015,"31/1/22",BRG0003,AMPICILLIN,5,53453.0,IDR,BRG0003,MARCKS,CUST55482,APOTEK SINAR JAYA,Bekasi,TD,Apotek,"2031-01"
IN6185,"1/2/22",BRG0004,TRAMADOL KAPSUL 50 MG,9,78306.3,IDR,BRG0004,VNS,CUST55483,APOTEK SAHABAT,Padang,TA,Apotek,"0001-02"
IN6258,"27/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,1,5648.3,IDR,BRG0005,SLCYL,CUST55484,KLINIK DR. ANDRI,Lampung,EPM,Klinik,"2027-01"
IN6070,"28/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,23,64841.6,IDR,BRG0006,OGB & PH,CUST55485,APOTEK TAPAK,Aceh,TD,Apotek,"2028-01"
IN6210,"23/1/22",BRG0007,ERGOTAMINE COFFEINE,4,18368.4,IDR,BRG0007,ETIKAL,CUST55486,APOTEK MAJA,Kuningan,TA,Apotek,"2023-01"
IN6083,"30/1/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,2,7983.8,IDR,BRG0008,MARCKS,CUST55487,KLINIK GM,Jakarta,EPM,Klinik,"2030-01"
IN6322,"31/1/22",BRG0009,AMBROXOL HC,17,98271.9,IDR,BRG0009,VNS,CUST55488,APOTEK MERDEKA,Bandung,TD,Apotek,"2031-01"
IN6291,"1/2/22",BRG0010,PARACETAMOL,11,76343.3,IDR,BRG0010,SLCYL,CUST55489,KLINIK SAHABAT,Tangerang,TD,Klinik,"0001-02"
IN6062,"27/1/22",BRG0001,ACYCLOVIR DUS,12,14038.920000000002,IDR,BRG0001,OGB & PH,CUST55490,APOTEK SINAR JAYA,Bekasi,TA,Apotek,"2027-01"
IN6167,"28/1/22",BRG0002,ALERGINE TABLET SALUT,12,28050.0,IDR,BRG0002,ETIKAL,CUST55491,APOTEK SAHABAT,Padang,EPM,Apotek,"2028-01"
IN6289,"23/1/22",BRG0003,AMPICILLIN,25,267265.0,IDR,BRG0003,MARCKS,CUST55492,APOTEK TAPAK,Aceh,TD,Apotek,"2023-01"
IN6305,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,14,121809.80000000002,IDR,BRG0004,VNS,CUST55493,APOTEK MAJA,Kuningan,TA,Apotek,"2030-01"
IN6079,"31/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,34,192042.2,IDR,BRG0005,SLCYL,CUST55494,KLINIK GM,Jakarta,EPM,Klinik,"2031-01"
IN6320,"1/2/22",BRG0006,KETOCONAZOLE TABLET 200 MG,67,188886.4,IDR,BRG0006,OGB & PH,CUST55495,APOTEK MERDEKA,Bandung,TD,Apotek,"0001-02"
IN6103,"27/1/22",BRG0001,ACYCLOVIR DUS,15,68881.5,IDR,BRG0001,OGB & PH,CUST55496,KLINIK SAHABAT,Tangerang,TA,Klinik,"2027-01"
IN6172,"28/1/22",BRG0002,ALERGINE TABLET SALUT,12,47902.8,IDR,BRG0002,ETIKAL,CUST55497,APOTEK SINAR JAYA,Bekasi,EPM,Apotek,"2028-01"
IN6183,"23/1/22",BRG0003,AMPICILLIN,25,144517.5,IDR,BRG0003,MARCKS,CUST55498,APOTEK SAHABAT,Padang,TD,Apotek,"2023-01"
IN6278,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,14,97164.2,IDR,BRG0004,VNS,CUST55499,KLINIK DR. ANDRI,Lampung,TD,Klinik,"2030-01"
IN6186,"31/1/22",BRG0001,ACYCLOVIR DUS,18,21058.38,IDR,BRG0001,OGB & PH,CUST55500,APOTEK TAPAK,Aceh,TA,Apotek,"2031-01"
IN6211,"1/2/22",BRG0002,ALERGINE TABLET SALUT,18,42075.0,IDR,BRG0002,ETIKAL,CUST55501,APOTEK MAJA,Kuningan,EPM,Apotek,"0001-02"
IN6118,"27/1/22",BRG0003,AMPICILLIN,19,203121.4,IDR,BRG0003,MARCKS,CUST55502,KLINIK GM,Jakarta,TD,Klinik,"2027-01"
IN6162,"28/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,12,104408.40000000001,IDR,BRG0004,VNS,CUST55503,APOTEK MERDEKA,Bandung,TA,Apotek,"2028-01"
IN6221,"23/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,25,141207.5,IDR,BRG0005,SLCYL,CUST55504,KLINIK SAHABAT,Tangerang,EPM,Klinik,"2023-01"
IN6170,"30/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,14,39468.799999999996,IDR,BRG0006,OGB & PH,CUST55505,APOTEK SINAR JAYA,Bekasi,TD,Apotek,"2030-01"
IN6045,"31/1/22",BRG0007,ERGOTAMINE COFFEINE,21,96434.1,IDR,BRG0007,ETIKAL,CUST55506,APOTEK SAHABAT,Padang,TA,Apotek,"2031-01"
IN6300,"1/2/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,22,87821.8,IDR,BRG0008,MARCKS,CUST55507,APOTEK TAPAK,Aceh,EPM,Apotek,"0001-02"
IN6228,"27/1/22",BRG0009,AMBROXOL HC,12,69368.4,IDR,BRG0009,VNS,CUST55508,APOTEK MAJA,Kuningan,TD,Apotek,"2027-01"
IN6199,"28/1/22",BRG0010,PARACETAMOL,25,173507.5,IDR,BRG0010,SLCYL,CUST55509,KLINIK GM,Jakarta,TD,Klinik,"2028-01"
IN6215,"23/1/22",BRG0001,ACYCLOVIR DUS,14,16378.740000000002,IDR,BRG0001,OGB & PH,CUST55510,APOTEK MERDEKA,Bandung,TA,Apotek,"2023-01"
IN6107,"30/1/22",BRG0002,ALERGINE TABLET SALUT,24,56100.0,IDR,BRG0002,ETIKAL,CUST55511,KLINIK SAHABAT,Tangerang,EPM,Klinik,"2030-01"
IN6152,"31/1/22",BRG0003,AMPICILLIN,10,106906.0,IDR,BRG0003,MARCKS,CUST55512,APOTEK SINAR JAYA,Bekasi,TD,Apotek,"2031-01"
IN6017,"1/2/22",BRG0004,TRAMADOL KAPSUL 50 MG,23,200116.1,IDR,BRG0004,VNS,CUST55513,APOTEK SAHABAT,Padang,TA,Apotek,"0001-02"
IN6299,"27/1/22",BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,12,67779.6,IDR,BRG0005,SLCYL,CUST55514,KLINIK DR. ANDRI,Lampung,EPM,Klinik,"2027-01"
IN6064,"28/1/22",BRG0006,KETOCONAZOLE TABLET 200 MG,10,28192.0,IDR,BRG0006,OGB & PH,CUST55515,APOTEK TAPAK,Aceh,TD,Apotek,"2028-01"
IN6308,"23/1/22",BRG0007,ERGOTAMINE COFFEINE,67,307670.7,IDR,BRG0007,ETIKAL,CUST55516,APOTEK MAJA,Kuningan,TD,Apotek,"2023-01"
IN6038,"30/1/22",BRG0008,TETRACYCLINE KAPSUL 250 MG,98,391206.2,IDR,BRG0008,MARCKS,CUST55517,KLINIK GM,Jakarta,TA,Klinik,"2030-01"
IN6130,"31/1/22",BRG0009,AMBROXOL HC,5,28903.5,IDR,BRG0009,VNS,CUST55518,APOTEK MERDEKA,Bandung,EPM,Apotek,"2031-01"
IN6293,"1/2/22",BRG0010,PARACETAMOL,4,27761.2,IDR,BRG0010,SLCYL,CUST55519,KLINIK SAHABAT,Tangerang,TD,Klinik,"0001-02"
IN6205,"27/1/22",BRG0001,ACYCLOVIR DUS,8,9359.28,IDR,BRG0001,OGB & PH,CUST55520,APOTEK SINAR JAYA,Bekasi,TA,Apotek,"2027-01"
IN6325,"28/1/22",BRG0002,ALERGINE TABLET SALUT,9,21037.5,IDR,BRG0002,ETIKAL,CUST55521,APOTEK SAHABAT,Padang,EPM,Apotek,"2028-01"
IN6317,"23/1/22",BRG0003,AMPICILLIN,10,106906.0,IDR,BRG0003,MARCKS,CUST55522,APOTEK TAPAK,Aceh,TD,Apotek,"2023-01"
IN6025,"30/1/22",BRG0004,TRAMADOL KAPSUL 50 MG,7,60904.90000000001,IDR,BRG0004,VNS,CUST55523,APOTEK MAJA,Kuningan,TA,Apotek,"2030-01"
